,Feature,Non_Zero_Coefficient
414,00421104010065,0.0
415,00421404015793,0.0
416,00421504017225,0.0
417,00421704020089,0.0
418,00421904045865,0.0
419,00422504025817,0.0
420,00423204055889,0.0
421,00423304032977,0.0
422,00423504047297,0.0
423,00423604048729,0.0
424,00423704035841,0.0
425,00430200001474,0.0
426,00430400004338,0.0
427,00430600007202,-0.0
428,00430700054458,0.0
429,00430800038706,-0.0
430,00430900008634,-0.0
431,00431000011498,0.0
432,00431100010066,-0.0
433,00431200012930,0.0
434,00431300014362,-0.0
435,00431400015794,0.0
436,00431700020090,0.0
437,00431900045866,-0.0
438,00432100021522,0.0
439,00432200051594,0.0
440,00432300022954,-0.0
441,00432400024386,-0.0
442,00432500025818,0.0
443,00432800044434,-0.0
444,00433000030114,0.0
445,00433100031546,0.0
446,00433300032978,0.0
447,00433500047298,0.0
448,00433600048730,-0.0
449,00440200001475,-0.0
450,00440400004339,-0.0
451,00440500005771,-0.0
452,00440700054459,-0.0
453,00440900008635,-0.0
454,00441100010067,-0.0
455,00441500017227,-0.0
456,00441600018659,0.0
457,00441700020091,0.0
458,00441900045867,-0.0
459,00442100021523,0.0
460,00442200051595,0.0
461,00442500025819,0.0
462,00442800044435,0.0
463,00443600048731,-0.0
464,00450104000044,0.0
465,00450204001476,-0.0
466,00450404004340,0.0
467,00450504005772,0.0
468,00450704054460,0.0
469,00450904008636,0.0
470,00451504017228,0.0
471,00451704020092,0.0
472,00451904045868,0.0
473,00452104021524,0.0
474,00452204051596,0.0
475,00452304022956,-0.0
476,00452504025820,0.0
477,00460200001477,0.0
478,00460400004341,0.0
479,00460600007205,0.0
480,00460800038709,-0.0
481,00461400015797,0.0
482,00461500017229,0.0
483,00461700020093,-0.0
484,00461800040141,-0.0
485,00461900045869,-0.0
486,00462100021525,-0.0
487,00462600027253,0.0
488,00462800044437,-0.0
489,00462900028685,0.0
490,00463300032981,0.0
491,00463600048733,-0.0
492,00463700035845,-0.0
493,00463800037277,-0.0
494,00470405004342,0.0
495,00470505005774,0.0
16876,14323201057280,0.0
497,00471505017230,0.0
498,00471705020094,-0.0
499,00472005041574,0.0
500,00472105021526,-0.0
501,00472505025822,0.0
502,00472605027254,0.0
503,00472805044438,0.0
504,00473705035846,-0.0
505,00473805037278,0.0
506,00480300002911,-0.0
507,00480500005775,-0.0
508,00480600007207,-0.0
509,00480700054463,-0.0
510,00480900008639,-0.0
511,00481300014367,-0.0
512,00481400015799,-0.0
513,00481500017231,-0.0
514,00481700020095,-0.0
515,00481900045871,-0.0
516,00482000041575,-0.0
517,00482100021527,-0.0
518,00482700043007,-0.0
519,00482800044439,-0.0
520,00483100031551,-0.0
521,00483600048735,-0.0
16877,14323501048688,-0.0
523,00490305002912,-0.0
524,00490905008640,0.0
525,00491505017232,0.0
526,00491605018664,0.0
527,00491705020096,-0.0
559,00512000041578,-0.0
528,00492105021528,0.0
16848,14310200002863,0.0
530,00492705043008,0.0
531,00492805044440,0.0
532,00493105031552,0.0
533,00493305032984,-0.0
534,00493405034416,-0.0
535,00493505047304,0.0
536,00493605048736,0.0
538,00500201001481,-0.0
539,00500301002913,-0.0
540,00500401004345,-0.0
541,00500801038713,-0.0
542,00501101010073,-0.0
543,00501301014369,-0.0
574,00541701020101,-0.0
575,00542301022965,0.0
544,00501701020097,-0.0
545,00501801040145,-0.0
546,00502201051601,-0.0
547,00502501025825,-0.0
548,00502801044441,-0.0
549,00503201055897,-0.0
550,00503301032985,-0.0
552,00503601048737,-0.0
553,00503901050169,-0.0
554,00504001053033,0.0
555,00510300002914,0.0
556,00511300014370,-0.0
557,00511600018666,-0.0
558,00511700020098,0.0
588,00552301022966,0.0
589,00552601027262,-0.0
590,00553401034422,-0.0
591,00553501047310,-0.0
560,00513300032986,0.0
561,00513700035850,0.0
562,00520300002915,0.0
563,00520500005779,0.0
564,00521000011507,-0.0
566,00521400015803,-0.0
567,00530300002916,0.0
569,00531400015804,0.0
16833,14200203002852,0.0
571,00540201001485,0.0
572,00540901008645,-0.0
573,00541101010077,-0.0
604,00561500017239,-0.0
605,00561600018671,-0.0
606,00561900045879,-0.0
607,00562000041583,0.0
576,00542401024397,-0.0
577,00542501025829,-0.0
578,00543201055901,0.0
579,00543501047309,-0.0
580,00543601048741,-0.0
581,00544001053037,-0.0
582,00550401004350,0.0
583,00550501005782,0.0
584,00550701054470,-0.0
585,00551101010078,-0.0
586,00551301014374,-0.0
587,00551901045878,-0.0
620,00570200001488,0.0
621,00570500005784,0.0
622,00570600007216,0.0
623,00570800038720,0.0
592,00553601048742,-0.0
593,00553901050174,0.0
594,00560100000055,-0.0
595,00560200001487,0.0
596,00560300002919,0.0
597,00560400004351,-0.0
598,00560500005783,0.0
599,00560600007215,0.0
600,00560800038719,-0.0
601,00560900008647,0.0
602,00561100010079,-0.0
603,00561200012943,0.0
635,00573000030128,0.0
636,00573100031560,0.0
