,Series Name
3430,"Manufacturing, value added (constant LCU)"
3466,"Net ODA provided, total (constant 2021 US$)"
3469,Net primary income (Net income from abroad) (constant LCU)
3547,"Services, value added (constant 2015 US$)"
3548,"Services, value added (constant LCU)"
3551,"Services, value added per worker (constant 2015 US$)"
3558,Taxes less subsidies on products (constant LCU)
3563,Terms of trade adjustment (constant LCU)
3571,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
3573,Adjusted net national income (constant 2015 US$)
3575,Adjusted net national income per capita (constant 2015 US$)
3589,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
3590,"Agriculture, forestry, and fishing, value added (constant LCU)"
3593,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
3619,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
3622,Changes in inventories (constant LCU)
3641,Exports as a capacity to import (constant LCU)
3643,Exports of goods and services (constant 2015 US$)
3644,Exports of goods and services (constant LCU)
3658,Final consumption expenditure (constant 2015 US$)
3659,Final consumption expenditure (constant LCU)
3669,GDP (constant 2015 US$)
3670,GDP (constant LCU)
3675,GDP per capita (constant 2015 US$)
3676,GDP per capita (constant LCU)
3679,"GDP per capita, PPP (constant 2021 international $)"
3681,GDP per person employed (constant 2021 PPP $)
3682,"GDP, PPP (constant 2021 international $)"
3685,General government final consumption expenditure (constant 2015 US$)
3686,General government final consumption expenditure (constant LCU)
3689,GNI (constant 2015 US$)
3690,GNI (constant LCU)
3693,GNI per capita (constant 2015 US$)
3694,GNI per capita (constant LCU)
3697,"GNI per capita, PPP (constant 2021 international $)"
3700,"GNI, PPP (constant 2021 international $)"
3706,Gross capital formation (constant 2015 US$)
3707,Gross capital formation (constant LCU)
3710,Gross domestic income (constant LCU)
3713,Gross fixed capital formation (constant 2015 US$)
3714,Gross fixed capital formation (constant LCU)
3717,Gross national expenditure (constant 2015 US$)
3718,Gross national expenditure (constant LCU)
3724,Gross value added at basic prices (GVA) (constant 2015 US$)
3725,Gross value added at basic prices (GVA) (constant LCU)
3728,Households and NPISHs Final consumption expenditure (constant 2015 US$)
3729,Households and NPISHs Final consumption expenditure (constant LCU)
3732,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
3733,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
3743,Imports of goods and services (constant 2015 US$)
3744,Imports of goods and services (constant LCU)
3750,"Industry (including construction), value added (constant 2015 US$)"
3751,"Industry (including construction), value added (constant LCU)"
3754,"Industry (including construction), value added per worker (constant 2015 US$)"
3766,"Manufacturing, value added (constant 2015 US$)"
3767,"Manufacturing, value added (constant LCU)"
3832,Net official development assistance and official aid received (constant 2021 US$)
3834,Net official development assistance received (constant 2021 US$)
3921,"Services, value added (constant 2015 US$)"
3922,"Services, value added (constant LCU)"
