id,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00520101000051,73.96326492694132,73.47348571681572,73.10661920673628,70.90161955294896,69.0926560752747,68.21158931644854,67.12400301220019,66.31988380764655,65.25379651075838,63.10977448037318,61.165995281289526,57.86250626918825,53.91834550999983,52.63138675649755,52.48549750097484,53.71434277012089,52.77212885914392,52.22635072135498,52.19700315953087,52.205511671002746,51.14554986842756,49.249088376478724,45.962322170701206,44.031320372271146,43.048164707441636,42.04143467251854,41.180730495330224,40.21750973363325,39.731905972544645,39.286304898328815,
00530100000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00540100000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00550100000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00560101000055,3000000.0,3200000.0,3200000.0,3200000.0,3200000.0,3100000.0,3000000.0,2800000.0,2700000.0,2600000.0,2600000.0,2500000.0,2500000.0,2400000.0,2300000.0,2200000.0,2200000.0,2100000.0,2100000.0,2000000.0,1900000.0,1900000.0,1800000.0,1800000.0,1700000.0,1600000.0,1500000.0,1500000.0,1400000.0,1300000.0,
00570101000056,2400000.0,2500000.0,2500000.0,2500000.0,2400000.0,2400000.0,2200000.0,2100000.0,2100000.0,2000000.0,1900000.0,1900000.0,1800000.0,1800000.0,1800000.0,1700000.0,1700000.0,1700000.0,1700000.0,1600000.0,1600000.0,1500000.0,1500000.0,1400000.0,1400000.0,1300000.0,1300000.0,1200000.0,1100000.0,1100000.0,
00580100000057,64.9995952861961,64.63133348040257,64.1546249848412,63.60495022134496,62.956696305457335,62.2405952599342,61.51857393010814,60.79672908202991,60.0737504151907,59.35101710663087,58.65311625256085,57.96222244055666,57.279301511767336,56.695363440537605,56.2268552796853,55.83230084977756,55.5093025725814,55.22879302506476,55.033152895805685,54.96784950094667,54.97559883756084,55.0275755444815,55.09233886481831,55.15428085344699,55.260973166792745,55.3621910078898,55.425444197128215,55.423148925717854,55.31556992578076,55.16663183329442,54.99634257180934
00590100000058,10.28085562209004,10.396239718237181,10.498156969738902,10.583734287398352,10.66534544361694,10.74148896229782,10.812963507514269,10.888331887115715,10.971509300000646,11.058405017154813,11.143071665385301,11.220397521230751,11.293425017195304,11.371484277668875,11.444887052341567,11.503418386734674,11.562998048283305,11.63489579927626,11.748672429152546,11.932750441680122,12.148816176065456,12.39748817899217,12.683461240068723,12.986335988638922,13.318507825684673,13.673304619810068,14.036422237680965,14.3933341815038,14.687683458433394,15.002141581900936,15.357901513488894
00600100000059,53.182732356023024,52.719438603124374,52.1575720139401,51.524496243696326,50.78856824883475,49.99834549561526,49.20809646413684,48.40419157088976,47.57822842556185,46.72930551864506,45.90444652209068,45.09675874750118,44.29437483863207,43.60078487516709,43.05389321629947,42.60410577017342,42.23090172704134,41.89554507199092,41.6113830258235,41.397139573185086,41.22896152630397,41.078095358152574,40.908810764646596,40.728300439468796,40.57373425756854,40.38717598308681,40.14547319537333,39.83814643838687,39.47508091987121,39.044077254190846,38.54792581706277
00610100000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00620100000061,36.69760082770652,36.86435682031938,36.84847266519083,36.903144140597725,37.03123696397765,37.14129645573776,37.154714390440844,37.17293744923508,37.173381709555734,37.102869652634105,36.93696825564754,36.56732054025726,36.618958136003215,36.623943953265716,36.55540700622753,36.452580557371505,36.41823345162885,36.42367667025675,36.588911590640706,36.93919278954658,36.85894998995847,36.85592905958671,36.69496732904461,36.64946240863836,36.8945994209391,36.772749472368446,36.807538423827616,36.745582267796685,36.83807799235308,36.883592773076636,
00630104000062,47953564.97799999,48175796.627,48163053.69,48242599.31299999,48444843.107,48578918.782,48608222.55200001,48658072.78000001,48677940.201,48598261.629,48415445.119,48001414.017,48074962.227,48085665.286,48001809.20500001,47844078.34799999,47784888.599,47778821.436,47966561.70600001,47905619.056,47804237.486999996,47802474.39799998,47584789.34399999,47544868.221999995,47863143.916999996,47739251.72199999,47770375.24899999,47727706.138000004,47812049.11299999,,
00640100000063,2.359797492184239,2.5437075171618537,2.6252148710372483,2.3623626297236107,2.2430246222693504,1.9815747664960264,1.8739630847600606,1.809678166102022,1.6824126352146258,1.6867027973718265,1.6891684607830058,1.6414241832561134,1.554913651460773,1.5060043024667127,1.5150912533647642,1.3958375626173825,1.3750567320256537,1.5573363055143936,1.6782531966140228,1.5732437681906088,1.5202040060356266,1.4573842637553576,1.4718925135684278,1.4800586465218264,1.4580303501109404,1.433433579686995,1.3489397771180904,1.3638074179674502,1.4117340426319815,1.283745452841378,1.1500740670055931
00650100000064,2.764522021372849,3.0303253237620096,3.145926684746322,2.7872751377232796,2.708536794403444,2.438337507646346,2.2921991404263875,2.2566789452522054,2.1648021768273753,2.075950356909713,1.9934287479001178,1.9268348597796376,1.7866693288677673,1.714004188975068,1.6536098672808772,1.5248027017853292,1.4817099527531294,1.6340407527898833,1.7284595307521848,1.5946673254971209,1.5689694622843977,1.5133759056990244,1.5555844416046802,1.5404521882560898,1.5197780338745117,1.474243689707046,1.385197896927438,1.3532795407632912,1.4020477080308216,1.3327115300457257,1.1821674168447904
00660100000065,3.8196988696423455,3.8940123919102834,3.868459090514204,4.008333422150068,3.9132779112654217,3.7941727662159725,3.466725045742706,3.3456722712252236,3.323089804267896,3.2824063510482753,3.273431032184974,3.313204038722623,3.187413144127981,3.1612687519628926,3.340541775359119,3.500849722722198,3.614413787692233,3.8185643176708384,3.9612656254811496,4.000759130783775,4.131437964113269,4.115877591189417,4.199951963500538,4.146438730955844,4.110420819604176,3.9409177360569134,4.001109601399339,4.333792246825111,4.263409198364213,4.251387701538769,4.10306441419422
